City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
134,bredasdorp,-34.5322,20.0403,282.73,86,0,2.46,ZA,1687481911
135,wamba,8.9333,8.6,295.74,91,99,0.2,NG,1687481912
136,fairview,40.8126,-73.999,294.05,75,100,2.68,US,1687481912
137,college,64.8569,-147.8028,297.12,61,75,4.12,US,1687481913
138,bhamo,24.2667,97.2333,297.18,100,100,0.58,MM,1687481913
139,sarmiento,-45.5882,-69.07,282.45,53,99,9.61,AR,1687481913
140,santana,-0.0583,-51.1817,301.25,83,40,3.6,BR,1687481915
141,rolla,37.9514,-91.7713,302.23,39,20,2.06,US,1687481915
142,mount isa,-20.7333,139.5,295.02,37,96,4.63,AU,1687481916
143,long beach,33.767,-118.1892,296.47,67,0,7.2,US,1687481808
144,aljezur,37.3191,-8.8033,291.83,71,0,3.93,PT,1687481917
145,petropavlovsk-kamchatsky,53.0452,158.6483,294.48,43,0,3.0,RU,1687481917
146,zheleznodorozhnyy,55.7503,38.0042,288.39,81,100,1.37,RU,1687481918
147,ararat,39.8317,44.7049,291.34,75,27,0.88,AM,1687481918
148,songea,-10.6833,35.65,285.17,80,0,1.12,TZ,1687481918
149,laguna,38.421,-121.4238,301.01,50,0,8.23,US,1687481919
150,yuzhno-kurilsk,44.0306,145.8556,287.06,80,100,1.77,RU,1687481919
151,plettenberg bay,-34.0527,23.3716,285.48,67,0,2.85,ZA,1687481920
152,taroa,8.7058,171.2275,301.33,78,62,6.6,MH,1687481920
153,cromwell,41.5951,-72.6454,294.98,77,100,2.25,US,1687481921
154,alaghsas,17.0187,8.0168,305.76,10,75,4.48,NE,1687481921
155,statesboro,32.4488,-81.7832,298.89,94,40,3.09,US,1687481922
156,hasaki,35.7333,140.8333,295.53,87,100,0.31,JP,1687481922
157,phan rang-thap cham,11.5667,108.9833,303.55,61,92,0.63,VN,1687481922
158,hovd,48.0056,91.6419,293.2,26,98,3.79,MN,1687481923
159,qaqortoq,60.7167,-46.0333,276.72,95,100,1.75,GL,1687481923
160,palikir - national government center,6.9248,158.1611,302.62,79,100,2.57,FM,1687481924
161,nantucket,41.2835,-70.0995,290.23,100,100,4.12,US,1687481628
162,barranca,-10.75,-77.7667,292.94,79,14,4.05,PE,1687481925
163,chuguyevka,44.1653,133.8633,288.3,94,100,1.07,RU,1687481925
164,shima,24.4478,117.8111,303.16,86,99,0.54,CN,1687481926
165,el nido,11.1858,119.3956,300.68,78,100,0.32,PH,1687481926
166,noumea,-22.2763,166.4572,297.14,99,37,4.78,NC,1687481926
167,zalingei,12.9096,23.4741,296.1,74,100,1.15,SD,1687481927
168,khabarovsk,48.4808,135.0928,295.04,68,0,2.0,RU,1687481927
169,talnakh,69.4865,88.3972,282.71,86,100,1.14,RU,1687481928
170,mount gambier,-37.8333,140.7667,283.09,78,18,0.05,AU,1687481928
171,jumla,29.2747,82.1838,291.87,88,100,0.35,NP,1687481929
172,laojunmiao,39.8333,97.7333,292.07,45,87,0.99,CN,1687481930
173,anadyr,64.75,177.4833,281.43,81,100,3.0,RU,1687481930
174,aykhal,66.0,111.5,287.15,91,100,0.86,RU,1687481932
175,touros,-5.1989,-35.4608,298.5,78,5,6.38,BR,1687481932
176,hakkari,37.5833,44.1667,284.42,80,0,2.23,TR,1687481933
177,rio preto da eva,-2.6994,-59.6997,299.54,74,89,1.18,BR,1687481933
178,katsuren-haebaru,26.3369,127.8719,302.36,85,75,4.12,JP,1687481934
179,vorgashor,67.5833,63.95,275.98,72,97,5.94,RU,1687481934
180,lerwick,60.1545,-1.1494,285.15,95,18,2.42,GB,1687481935
181,flying fish cove,-10.4217,105.6791,297.97,83,100,4.63,CX,1687481936
182,constantia,44.1833,28.65,291.53,76,1,2.05,RO,1687481646
183,goondiwindi,-28.55,150.3167,291.0,57,0,6.9,AU,1687481936
184,pimentel,-6.8367,-79.9342,296.31,78,0,6.69,PE,1687481937
185,saipan,15.1355,145.701,304.54,100,20,8.75,MP,1687481937
186,chingola,-12.529,27.8838,283.86,68,0,2.31,ZM,1687481938
187,mersa matruh,31.3525,27.2453,296.26,78,0,4.63,EG,1687481938
188,selkirk,50.1436,-96.8845,296.23,49,44,0.89,CA,1687481727
189,bartica,6.4,-58.6167,298.33,98,100,1.04,GY,1687481939
190,wailua homesteads,22.0669,-159.378,300.59,73,40,8.23,US,1687481940
191,olonkinbyen,70.9221,-8.7187,276.21,79,98,4.81,SJ,1687481940
192,kayes,14.0,-11.0,301.95,60,4,4.2,ML,1687481940
193,vieux-habitants,16.0589,-61.7659,299.91,77,100,7.8,GP,1687481941
194,torghay,49.6339,63.4981,286.43,66,50,5.47,KZ,1687481941
195,kanniyakumari,8.0833,77.5667,300.03,80,100,7.66,IN,1687481942
196,lihue,21.9789,-159.3672,300.92,71,40,8.23,US,1687481942
197,mogadishu,2.0371,45.3438,298.49,79,100,7.43,SO,1687481943
198,bamboo flat,11.7,92.7167,301.36,80,100,5.01,IN,1687481943
199,jamestown,42.097,-79.2353,295.92,81,100,2.57,US,1687481944
200,aitape,-3.1374,142.3475,300.82,77,100,0.53,PG,1687481944
201,atafu village,-8.5421,-172.5159,301.52,66,90,5.79,TK,1687481945
202,sitka,57.0531,-135.33,290.09,77,40,3.6,US,1687481945
203,hola,51.5377,23.1902,290.27,100,16,2.42,PL,1687481946
204,gisors,49.2818,1.7801,288.1,95,0,3.18,FR,1687481946
205,rosso,16.4986,-15.8153,299.93,71,10,4.84,SN,1687481947
206,juan griego,11.0817,-63.9655,295.22,100,82,5.14,VE,1687481948
207,santa rosalia,27.3167,-112.2833,306.01,26,31,1.06,MX,1687481948
208,saint-pierre,-21.3393,55.4781,292.97,73,0,3.09,RE,1687481948
209,golyshmanovo,56.3979,68.3728,279.89,79,100,2.33,RU,1687481949
210,tocopilla,-22.092,-70.1979,291.91,72,16,1.8,CL,1687481950
211,bikenibeu village,1.3673,173.1241,303.13,74,40,2.06,KI,1687481950
212,magadan,59.5667,150.8,288.0,68,60,2.29,RU,1687481951
213,portland,45.5234,-122.6762,304.71,28,20,5.66,US,1687481909
214,maffra,-37.9667,146.9833,285.52,57,53,1.46,AU,1687481952
215,taulaga,-11.0553,-171.0883,300.8,68,14,3.57,AS,1687481952
216,ried im innkreis,48.2112,13.4886,291.25,92,92,6.78,AT,1687481952
217,port lincoln,-34.7333,135.8667,288.04,66,3,7.09,AU,1687481953
218,fort-shevchenko,44.5086,50.263,294.68,45,100,4.55,KZ,1687481953
219,cidreira,-30.1811,-50.2056,289.53,89,48,1.52,BR,1687481954
220,izluchinsk,60.9794,76.9242,280.16,73,25,4.46,RU,1687481954
221,mount pleasant,32.7941,-79.8626,299.82,81,0,5.14,US,1687481955
222,tubarjal,30.4999,38.216,298.06,37,0,6.58,SA,1687481955
223,alta,69.9689,23.2717,290.74,68,0,3.09,NO,1687481956
224,krasnaya yaruga,50.8008,35.6583,287.8,79,99,4.2,RU,1687481956
225,zavodoukovsk,56.5042,66.5515,281.54,78,100,1.94,RU,1687481957
226,murzuq,25.9155,13.9184,299.45,23,0,5.33,LY,1687481957
227,kenai,60.5544,-151.2583,286.2,93,100,3.09,US,1687481958
228,leshan,29.5623,103.7639,297.11,70,100,0.35,CN,1687481958
229,livani,56.3543,26.1758,285.8,98,100,1.93,LV,1687481778
230,nadi,-17.8,177.4167,300.15,57,20,3.09,FJ,1687481959
231,berber,18.0216,33.983,302.4,14,66,4.8,SD,1687481960
232,correntina,-13.3433,-44.6367,292.63,53,1,2.03,BR,1687481960
233,al kharj,24.155,47.3346,304.47,17,0,0.93,SA,1687481961
234,prainha,-1.8,-53.48,296.18,95,0,1.14,BR,1687481961
235,daru,-9.0763,143.2092,300.42,74,100,4.57,PG,1687481961
236,shache,38.4167,77.2406,302.28,21,0,0.64,CN,1687481962
237,east london,-33.0153,27.9116,286.57,75,10,5.66,ZA,1687481962
